PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=0.167 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=2.91 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=0.157 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=0.209 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=1.58 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=3.77 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=0.244 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=2.04 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=0.453 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=0.154 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=2.19 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=0.264 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=0.177 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=5.65 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=0.368 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=0.153 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=0.136 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=1.54 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=0.095 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=0.160 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=0.210 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=7.08 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=0.149 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=0.168 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=1.91 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=2.26 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=0.213 ms
