PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=0.159 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=0.099 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=0.118 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=0.378 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=0.414 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=0.237 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=0.199 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=0.410 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=0.168 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=0.405 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=0.124 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=0.404 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=0.432 ms
